Fold,Model,Target,Train RMSE,Train MAE,Train R2,Test RMSE,Test MAE,Test R2
8,6 LinearRegression,homo,0.9052115465241461,0.6478360803632538,0.1782314464553062,0.9141614407074554,0.6545877255207417,0.1853413668917634
9,6 LinearRegression,homo,0.9065836605137718,0.6493947172102446,0.1803993736844397,0.9018637628617376,0.6457509784592306,0.1656289412175772
10,6 LinearRegression,homo,0.9065343186650694,0.6491742580226952,0.1802796982762589,0.9022208661618213,0.6444392494718099,0.16690328452041758
Average,6 LinearRegression,homo,0.9060705069175322,0.6487039846495083,0.1790341039560694,0.9064041242984965,0.6489671230978076,0.17825884794597496
STD,6 LinearRegression,homo,0.0010042745827348856,0.000721866867346205,0.0007857608869748137,0.009088242457155676,0.00596722044137825,0.007142684757253205
1,5 LassoRegressor,homo,1.0000022228508392,0.707801595288958,0.0,0.9999814879661568,0.7083723355308836,-2.986366626300807e-05
2,5 LassoRegressor,homo,0.9992975581673346,0.7075542449422879,0.0,1.0062996959236212,0.7108668239279696,-3.043610474762204e-09
3,5 LassoRegressor,homo,1.0012443103558244,0.708643370228308,0.0,0.9887318166752451,0.700885052452469,-1.3871942549092964e-05
4,5 LassoRegressor,homo,1.001849421604987,0.7089081845721723,0.0,0.983199336603102,0.6986213235359013,-1.6789313110887605e-06
5,5 LassoRegressor,homo,0.9989970009929876,0.7072275107808761,0.0,1.0089858812776895,0.7142594520494775,-8.055794664385552e-05
6,5 LassoRegressor,homo,0.9988795662435553,0.7072347560758574,0.0,1.010028753765473,0.7139811444503448,-2.222190508516242e-05
7,5 LassoRegressor,homo,0.998489708871831,0.7068223939016401,0.0,1.0134925211448516,0.7173016292595283,-9.5239195172514e-06
8,5 LassoRegressor,homo,0.9985626687204385,0.7068764016095875,0.0,1.0128468928990786,0.7166520017252019,-4.0219733702606675e-05
9,5 LassoRegressor,homo,1.0013980621465182,0.7085624524183914,0.0,0.9873277025504383,0.7017917416280947,-5.8847986483812065e-09
10,5 LassoRegressor,homo,1.001270461462017,0.7092255642577511,0.0,0.9884937725905809,0.6961391189459756,-4.044215486964653e-05
Average,5 LassoRegressor,homo,0.9999990981416331,0.707885647407583,0.0,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
STD,5 LassoRegressor,homo,0.0012505606451564389,0.0008364179045478732,0.0,0.011270654046469243,0.007499113653609977,2.3940439221277283e-05
1,7 MLPRegressor,homo,0.6787861437367433,0.5177085249290121,0.5392514194240159,0.6795603763218986,0.5208879917340891,0.5381668050381196
2,7 MLPRegressor,homo,0.6569091592962274,0.49464970263290636,0.5678634681046356,0.6586506968465293,0.49575193434365994,0.5715939161396285
3,7 MLPRegressor,homo,0.6742242151981869,0.5121790388640702,0.5465508726095223,0.6644919488985027,0.5043045003141275,0.5483225054492615
4,7 MLPRegressor,homo,0.6643037741447138,0.49946278391498594,0.5603282762627491,0.6645988439898378,0.500802886093318,0.5430836082688044
5,7 MLPRegressor,homo,0.6602959776279713,0.49158742362431623,0.5631333077021325,0.6640078925131568,0.4972488310392011,0.5668769576146321
6,7 MLPRegressor,homo,0.6722740132639152,0.504725997255123,0.5470331811029178,0.6914870051095016,0.5084812565383826,0.5312835221329865
7,7 MLPRegressor,homo,0.6712915897643268,0.5067335718915145,0.5480033394138148,0.680113944474189,0.5129287451364845,0.5496746467830895
8,7 MLPRegressor,homo,0.6581429855196118,0.4932324544283733,0.5655999545011214,0.6671186591174215,0.5019931886152084,0.5661535557510506
9,7 MLPRegressor,homo,0.6816232164607912,0.5172944528513063,0.5366861793936345,0.674710981905501,0.5126524375523108,0.5330042639693738
10,7 MLPRegressor,homo,0.673961600507209,0.5085623701891249,0.5469277140907113,0.6807276511346811,0.5111000128790912,0.5257400271149126
Average,7 MLPRegressor,homo,0.6691812675519696,0.5046136320580733,0.5521377712605255,0.672546800031122,0.5066151784245874,0.547389980826186
STD,7 MLPRegressor,homo,0.008273716271522605,0.00913585549182745,0.010596378471738525,0.009799608537502384,0.007548788713149055,0.015370208088116327
1,8 RidgeRegressor,homo,0.9095775091670336,0.6507561990111672,0.17267243287313638,0.9103856889123554,0.6535367895718897,0.1711424589605306
2,8 RidgeRegressor,homo,0.9090446201170393,0.6510818411295266,0.1724757116016138,0.9151561461880001,0.6519134636292812,0.17294247018825926
3,8 RidgeRegressor,homo,0.9108542639217905,0.6518349215461104,0.17240536042799937,0.8987784587512301,0.6437050002794272,0.173668487275069
4,8 RidgeRegressor,homo,0.911559274771604,0.6523427726459312,0.17212470113755274,0.8923656255988596,0.6405731932768952,0.17623518011993478
5,8 RidgeRegressor,homo,0.9083724186367127,0.6503446526936044,0.1732018253284564,0.9212138495972941,0.6601711777290271,0.16634622104927232
6,8 RidgeRegressor,homo,0.9088581869813285,0.6504021172098403,0.1721226718415385,0.9168599476414876,0.6568877924454299,0.17596021862773947
7,8 RidgeRegressor,homo,0.908783478083595,0.6506546105953361,0.17161226620748848,0.9175560782844464,0.6551547520737121,0.1803503218445598
8,8 RidgeRegressor,homo,0.9087174865488361,0.6501397268755632,0.17185359907336184,0.9181266686384687,0.6578690734480619,0.1782587820356738
9,8 RidgeRegressor,homo,0.9103028607918932,0.6518741019867296,0.17366086371146083,0.9038755878394278,0.647387195200907,0.16190225681837012
10,8 RidgeRegressor,homo,0.9101610022246576,0.6517474471641509,0.17370782844538757,0.9050805114907211,0.6464824956131154,0.1616138110853389
Average,8 RidgeRegressor,homo,0.9096231101244492,0.651117839085796,0.1725837260647996,0.9099398562942291,0.6513680933267747,0.1718420208004748
STD,8 RidgeRegressor,homo,0.0010013523290061674,0.0007346051944207446,0.0006897335175804533,0.009062277492184155,0.006201072887611192,0.00623282252165772
1,9 SVR,homo,0.9196952333551527,0.641690726919788,0.15416443808056768,0.9214652852718209,0.6456000598318795,0.15084493196778992
2,9 SVR,homo,0.9192249509608683,0.6420116517285087,0.15383714667765358,0.9247402895533658,0.6428053808983603,0.1555287325061323
3,9 SVR,homo,0.9209553514591129,0.6428654247716982,0.15394805296655956,0.9102867128043136,0.6350983824578607,0.15237177034434335
4,9 SVR,homo,0.9217029585911449,0.643317478198022,0.15359726214644243,0.9017461751679506,0.6309620632503374,0.15882531682627476
5,9 SVR,homo,0.9185505263113198,0.6413131873601998,0.1545698499197956,0.9286619014405763,0.6491267208818211,0.15281147671562145
6,9 SVR,homo,0.9189124148466477,0.6413828441297447,0.15370460038878742,0.928102106899099,0.6484479085288463,0.15562825391491109
7,9 SVR,homo,0.9191502905691291,0.6415476932429526,0.15260505008720116,0.9278715418517093,0.6469851758944252,0.16181719041863885
8,9 SVR,homo,0.9188937600937069,0.6410148373310688,0.1532017478487262,0.9312419970972764,0.651814676352788,0.15461415145640356
9,9 SVR,homo,0.9205684033176922,0.6427015615710425,0.15491841972698062,0.9114610091342177,0.6365875423545024,0.14777641863887914
10,9 SVR,homo,0.9202113185281225,0.6428020094716724,0.15535866110552898,0.9139294938390521,0.6358998642375172,0.14513984738061447
Average,9 SVR,homo,0.9197865208032898,0.6420647414724698,0.15399052289482432,0.9199506513059383,0.6423327774688338,0.15353580901696087
STD,9 SVR,homo,0.0009822393068503867,0.0007550965199098641,0.0007682509757167327,0.009438881686257236,0.0067972193781836426,0.004678207721127949
1,StackingRegressor,homo,0.00011065150678042235,1.5404892147033024e-05,0.9999999877562985,0.00015966792190918143,2.627021033686609e-05,0.9999999745044494
2,StackingRegressor,homo,7.030848565143693e-05,1.5143822061141543e-05,0.9999999950497648,0.00015526866696595256,2.665449847576761e-05,0.9999999761925452
3,StackingRegressor,homo,3.290250779285592e-05,1.1893077334918367e-05,0.999999998920114,9.251966938787438e-05,2.2643634768169946e-05,0.9999999912437703
4,StackingRegressor,homo,0.0001295744923846406,2.3591667367066206e-05,0.9999999832723809,0.0002877002033740087,4.041546440751639e-05,0.9999999143755267
5,StackingRegressor,homo,0.00010900810384520004,2.3254530019023894e-05,0.9999999880933605,0.0002380035898507083,3.769571351023977e-05,0.999999944354273
6,StackingRegressor,homo,0.00013426065450677832,2.537736524331037e-05,0.999999981933615,0.0003011593050091224,4.699364602943108e-05,0.9999999110932473
7,StackingRegressor,homo,0.00019055151986183553,4.749501345884823e-05,0.9999999635801923,0.00043144567901303625,7.238379104347047e-05,0.9999998187761772
8,StackingRegressor,homo,0.0001367497269404758,2.1960503564431317e-05,0.9999999812456385,0.0001885191577407663,3.920335964016686e-05,0.9999999653549775
9,StackingRegressor,homo,0.0001900863518153747,2.5887267450820545e-05,0.9999999639679993,0.00032977027825418457,4.4695736543309766e-05,0.9999998884420876
10,StackingRegressor,homo,0.00017090700675338017,2.7326173807454413e-05,0.9999999708648721,0.00041477159820115916,5.236818465463285e-05,0.9999998239290496
Average,StackingRegressor,homo,0.00012750003563324002,2.3733431245404795e-05,0.9999999814684235,0.00025988260697059945,4.093242394095708e-05,0.9999999208266104
STD,StackingRegressor,homo,4.7704987197085115e-05,9.335923970949393e-06,1.1465822085495857e-08,0.00010740354000628342,1.3920914942496751e-05,5.867720194965921e-08
1,1 AdaBoostRegressor,lumo,0.6403258638007292,0.5535090785913237,0.5902820286457078,0.6424222760616716,0.5559322919917528,0.584562620238388
2,1 AdaBoostRegressor,lumo,0.6496684871910371,0.5630770055574379,0.5772553480936311,0.6521056467602846,0.5640462602988574,0.580766068610539
3,1 AdaBoostRegressor,lumo,0.6444018815847297,0.5540533288908832,0.5843834692806087,0.6501301181129917,0.5587607297491438,0.5806248415529802
4,1 AdaBoostRegressor,lumo,0.6416908860144169,0.5528845496674575,0.5877816855423019,0.6383103617636828,0.5502785078287946,0.5964346856212842
5,1 AdaBoostRegressor,lumo,0.6589248425892622,0.5724347210961642,0.5665941958022098,0.6569995407504737,0.5694199893421497,0.5612192605661714
6,1 AdaBoostRegressor,lumo,0.6446251758414637,0.5566212844292732,0.5842754833933359,0.6482050555602217,0.5602320956390224,0.5813864234457979
7,1 AdaBoostRegressor,lumo,0.6555854020859435,0.5672863898100543,0.5706801612352526,0.6504445766296678,0.5640186131960124,0.572668146119383
8,1 AdaBoostRegressor,lumo,0.6431102083197445,0.5560700719960586,0.5857624759581496,0.6420120540810967,0.5557347125001875,0.5935326528993652
9,1 AdaBoostRegressor,lumo,0.6523465237231618,0.5663536722887711,0.5747659750207598,0.6507451842630004,0.5650960082449613,0.573625098543329
10,1 AdaBoostRegressor,lumo,0.6517497250790308,0.5650763421665386,0.575722230865557,0.6537880129774544,0.5659776339955478,0.5679256755685504
Average,1 AdaBoostRegressor,lumo,0.648242899622952,0.5607366444493962,0.5797503053837514,0.6485162826960545,0.560949684278643,0.5792745473165788
STD,1 AdaBoostRegressor,lumo,0.005991496531618368,0.006579348932630808,0.007457575882376191,0.005546446766617595,0.005520652811302734,0.010317880914052802
1,2 BayesianRidge,lumo,0.6427321300533558,0.516941917290343,0.5871969027390599,0.6388492452715437,0.5158340241971804,0.589170936950804
2,2 BayesianRidge,lumo,0.6425419896900108,0.5171238973881847,0.5864790214441835,0.6406012870117495,0.5146455587934096,0.5954277249647356
3,2 BayesianRidge,lumo,0.6418049103888832,0.5161772945802321,0.5877266291459762,0.6471536613759885,0.5218675582654703,0.5844560580356989
4,2 BayesianRidge,lumo,0.6422470367001527,0.5167010668164859,0.5870668402776229,0.6432446594654146,0.516917141009231,0.590171249559601
5,2 BayesianRidge,lumo,0.6427809450382481,0.5169227684117235,0.5875712349554386,0.6384010850891607,0.5150454847738942,0.5857098033191814
6,2 BayesianRidge,lumo,0.6419865380742592,0.5166639316053813,0.5876718799084808,0.6455574710475961,0.518323013053373,0.5847990823393144
7,2 BayesianRidge,lumo,0.642315514565767,0.5168860988546747,0.5878842307720464,0.6426360789485568,0.5149796040663941,0.5828666807153939
8,2 BayesianRidge,lumo,0.6422539466142472,0.5168645323402971,0.5868648052213239,0.6431703347011904,0.5161608499784145,0.5920646806215719
9,2 BayesianRidge,lumo,0.6428076992301733,0.5169021210913718,0.5871108770157589,0.638195535659305,0.515533720076167,0.5899118405115938
10,2 BayesianRidge,lumo,0.6417121411191785,0.516414821252396,0.5886901825487905,0.6479997638055405,0.5204285651928271,0.5755424651829635
Average,2 BayesianRidge,lumo,0.6423182851474276,0.516759844963109,0.5874262604028682,0.6425809122376046,0.5169735519406361,0.5870120522200858
STD,2 BayesianRidge,lumo,0.0003775096631824084,0.00026653913252335014,0.0005892836333414576,0.003383365913421892,0.0023421696979925247,0.005303436721904055
1,3 ElasticNetRegressor,lumo,0.9430620496836346,0.7739323507974296,0.11128305132839755,0.9398037280411291,0.773730981664929,0.11092435426904956
2,3 ElasticNetRegressor,lumo,0.9426144854599008,0.7739467529325735,0.11005587961173002,0.9499641009902553,0.7788811397633174,0.11031782125867329
3,3 ElasticNetRegressor,lumo,0.9425662913988111,0.7739125717283741,0.11079269555125393,0.9470060126269728,0.7761002905717991,0.1101688541164676
4,3 ElasticNetRegressor,lumo,0.9430042033978149,0.7743152887164403,0.10976882596588178,0.9475128334410947,0.7754569813314812,0.11075742952334977
5,3 ElasticNetRegressor,lumo,0.943530121838911,0.7745006909368655,0.11134231914002612,0.9347855816164028,0.7675021878190574,0.11173728292762208
6,3 ElasticNetRegressor,lumo,0.9426093074317796,0.7736293818177854,0.111096617769601,0.9451583588122138,0.7780972857453873,0.10998435569752041
7,3 ElasticNetRegressor,lumo,0.9431871577982008,0.7745600477815104,0.1113757387320532,0.9380042511062138,0.7672539019328973,0.11130182902139196
8,3 ElasticNetRegressor,lumo,0.9425574244994448,0.7736673699832352,0.11019617573465212,0.94986994949629,0.7806044781380467,0.11025082242526774
9,3 ElasticNetRegressor,lumo,0.9433046781167308,0.7743429561686077,0.1108494963763299,0.9393722021946019,0.7714297244008108,0.11152519823759
10,3 ElasticNetRegressor,lumo,0.9429968637857398,0.7739723699104475,0.11180349464924577,0.9379428226979257,0.7717943351677707,0.11072254708099138
Average,3 ElasticNetRegressor,lumo,0.9429432583410968,0.774077978077327,0.11085642948591715,0.9429419841023099,0.7740851306535497,0.11076904945579238
STD,3 ElasticNetRegressor,lumo,0.00032646681873374267,0.0003137490062240395,0.0006249965197610037,0.005273707005931105,0.004358543303572423,0.0005716338916718262
1,4 KNeighborsRegressor,lumo,0.6211796229447947,0.4884736787786657,0.6144174890271351,0.76527333011171,0.6028440989336021,0.41048135719985823
2,4 KNeighborsRegressor,lumo,0.621431645791949,0.48815249974890135,0.6132046447554856,0.7626330226961064,0.604166293796236,0.42660788385990245
3,4 KNeighborsRegressor,lumo,0.6209745976172002,0.4882399495868802,0.6140536992488423,0.7740645005151129,0.6109076336320388,0.40549374076875677
4,4 KNeighborsRegressor,lumo,0.6210092063844904,0.48843770906593087,0.6139250549621069,0.7584588210633779,0.5997411395066848,0.4302110051093292
5,4 KNeighborsRegressor,lumo,0.6205834953433345,0.487987460018102,0.615564573041158,0.763345761675204,0.6044174609890605,0.40767505753339195
6,4 KNeighborsRegressor,lumo,0.620573632839226,0.48795124268902534,0.6147188606040137,0.7640676023844882,0.6050089960955624,0.4183629645784851
7,4 KNeighborsRegressor,lumo,0.6207949504731224,0.4882484097336852,0.6150372040716479,0.7650220093110802,0.6020677069865031,0.4088570253796765
8,4 KNeighborsRegressor,lumo,0.6207836381776969,0.48815808901014474,0.614025019267544,0.7684961457421112,0.6067526856651972,0.4175982303201857
9,4 KNeighborsRegressor,lumo,0.6213394950129677,0.48862247571163026,0.6142293146665074,0.7597180767836172,0.6011772094072374,0.41886821927198126
10,4 KNeighborsRegressor,lumo,0.6210077093246872,0.48851317467079103,0.6148033099460286,0.7631333237858605,0.6028766114753262,0.4113117209896987
Average,4 KNeighborsRegressor,lumo,0.6209677993909469,0.4882784689013756,0.614397916959047,0.7644212594068669,0.6039959836487448,0.41554672050112657
STD,4 KNeighborsRegressor,lumo,0.00027719719827012815,0.0002148026561358562,0.0006301561760857703,0.004177231832156239,0.002982455777623249,0.007822617731145134
1,6 LinearRegression,lumo,0.5939244785281879,0.4722368779422444,0.6475111565933891,0.5913321250230168,0.4714739267378182,0.6480124247606036
2,6 LinearRegression,lumo,0.5936225430735456,0.47229907075594163,0.6470482906623904,0.5940807316130113,0.4718002170590809,0.6520543291355061
3,6 LinearRegression,lumo,0.593148618796151,0.47165385017877326,0.6478673783778178,0.5982870146792517,0.476858952259316,0.6448422598144421
4,6 LinearRegression,lumo,0.5936079156026498,0.4721611546261614,0.6472435948749362,0.5942335133030182,0.4717850955983224,0.6502446823812328
5,6 LinearRegression,lumo,0.5936949524191577,0.47188098148278407,0.6481563857221997,0.5934277532218255,0.4740278195905869,0.6420246433111894
6,6 LinearRegression,lumo,0.5936634789985074,0.47227166309281593,0.647408550011942,0.5937065853090967,0.4709518200475369,0.6488180276038572
7,6 LinearRegression,lumo,0.5939863902122043,0.4725183147234862,0.6475679492649149,0.590845843441963,0.4684165077984156,0.6473912847235173
8,6 LinearRegression,lumo,0.5938270688383198,0.47248281098634837,0.646817959395835,0.5922465803827055,0.46944173765379177,0.6541048901748616
9,6 LinearRegression,lumo,0.5937166559500454,0.4719862519561007,0.6477672222584259,0.5932631971512835,0.4736967752947569,0.6456238202187323
10,6 LinearRegression,lumo,0.5932234301954579,0.47184166302719366,0.6485001412016502,0.5976139724379496,0.47487801724658985,0.6389843424154464
Average,6 LinearRegression,lumo,0.5936415532614225,0.4721332638771849,0.6475888628363501,0.5939037316563123,0.4723330869286215,0.6472100704539387
STD,6 LinearRegression,lumo,0.0002572259794377774,0.00026995088987715273,0.0004802709842013292,0.002291393453600244,0.0024211915250300802,0.00431451458912061
1,5 LassoRegressor,lumo,1.0003651119801926,0.8194220924573924,0.0,0.9967081316649319,0.8192033911707479,-8.977678096488972e-07
2,5 LassoRegressor,lumo,0.9992007246917796,0.8189021903754382,0.0,1.007167457736225,0.8241305614742528,-5.497318986313893e-05
3,5 LassoRegressor,lumo,0.9995635100057909,0.8191699694370803,0.0,1.0039197500371386,0.8214158749090835,-2.910546097467659e-07
4,5 LassoRegressor,lumo,0.9994526628980295,0.8192011107558727,0.0,1.0049261393923747,0.8205537522395676,-0.00027250062703942923
5,5 LassoRegressor,lumo,1.0008950004899744,0.8200948099651395,0.0,0.9919166787108061,0.8126598347127921,-0.00015614901685867544
6,5 LassoRegressor,lumo,0.9997799992640314,0.8190670058161604,0.0,1.0019911771789887,0.8229890917811888,-0.0002677722586077458
7,5 LassoRegressor,lumo,1.0005499988028899,0.8200943993977741,0.0,0.9950389153684636,0.8128363195644719,-5.7117754378221974e-05
8,5 LassoRegressor,lumo,0.9992190028351706,0.8186497736341866,0.0,1.0070020814930423,0.8261295448679233,-8.064234280347193e-08
9,5 LassoRegressor,lumo,1.00037849877474,0.8196696698979726,0.0,0.9965868690957435,0.8169486899345115,-6.363558791022683e-08
10,5 LassoRegressor,lumo,1.0005889865771302,0.8196948376110089,0.0,0.9946900317707613,0.8171577858682764,-0.0001383573915878511
Average,5 LassoRegressor,lumo,0.9999993496319728,0.8193965859348026,0.0,0.9999947232448475,0.8194024846522817,-9.482033386851719e-05
STD,5 LassoRegressor,lumo,0.0005928147207109182,0.00046249152860692867,0.0,0.0053350863114419176,0.0043072987961053745,0.00010288843038056846
1,7 MLPRegressor,lumo,0.545088342006939,0.4331667033120883,0.7030955457339467,0.5455479212641243,0.43367207473235986,0.7004080101364993
2,7 MLPRegressor,lumo,0.5442575234634073,0.4328588113929771,0.703309663170605,0.5414524367390012,0.4308121880389909,0.710971193841964
3,7 MLPRegressor,lumo,0.5403031563383204,0.4293194164815021,0.7078174854303032,0.5471071244036786,0.4354105478264261,0.7030065506131324
4,7 MLPRegressor,lumo,0.533866316963751,0.4220641719058505,0.7146745026270732,0.5304289832529336,0.4188718489097331,0.7213208120538919
5,7 MLPRegressor,lumo,0.5394143140818961,0.4291979862193452,0.7095523320299457,0.5417099574637938,0.43218190052821787,0.701701505817117
